date,rental
2021-01-01,27974
2021-01-02,24902
2021-01-03,20168
2021-01-04,27645
2021-01-05,23568
2021-01-06,23609
2021-01-07,12530
2021-01-08,29088
2021-01-09,22809
2021-01-10,21522
2021-01-11,18562
2021-01-12,24693
2021-01-13,32329
2021-01-14,32389
2021-01-15,21027
2021-01-16,23626
2021-01-17,23955
2021-01-18,14264
2021-01-19,28881
2021-01-20,35545
2021-01-21,26328
2021-01-22,25853
2021-01-23,28363
2021-01-24,39808
2021-01-25,43303
2021-01-26,28846
2021-01-27,38930
2021-01-28,17050
2021-01-29,28522
2021-01-30,28074
2021-01-31,28746
2021-02-01,26580
2021-02-02,26974
2021-02-03,27246
2021-02-04,29232
2021-02-05,25131
2021-02-06,23979
2021-02-07,15451
2021-02-08,30468
2021-02-09,32669
2021-02-10,26112
2021-02-11,38350
2021-02-12,43093
2021-02-13,59472
2021-02-14,35651
2021-02-15,24391
2021-02-16,16157
2021-02-17,15291
2021-02-18,25523
2021-02-19,31766
2021-02-20,38120
2021-02-21,63452
2021-02-22,40352
2021-02-23,31865
2021-02-24,41477
2021-02-25,34142
2021-02-26,71551
2021-02-27,77821
2021-02-28,35593
2021-03-01,27793
2021-03-02,36585
2021-03-03,49487
2021-03-04,47609
2021-03-05,72750
2021-03-06,37518
2021-03-07,51616
2021-03-08,57310
2021-03-09,57747
2021-03-10,64712
2021-03-11,65700
2021-03-12,42372
2021-03-13,41782
2021-03-14,44989
2021-03-15,45805
2021-03-16,53621
2021-03-17,72693
2021-03-18,77475
2021-03-19,71917
2021-03-20,41397
2021-03-21,28607
2021-03-22,58190
2021-03-23,67726
2021-03-24,67733
2021-03-25,73792
2021-03-26,69140
2021-03-27,11719
2021-03-28,18865
2021-03-29,47544
2021-03-30,78221
2021-03-31,95491
2021-04-01,98426
2021-04-02,88232
2021-04-03,44543
2021-04-04,69693
2021-04-05,87356
2021-04-06,97694
2021-04-07,97796
2021-04-08,98937
2021-04-09,97264
2021-04-10,93994
2021-04-11,99352
2021-04-12,43464
2021-04-13,53712
2021-04-14,83395
2021-04-15,91602
2021-04-16,69934
2021-04-17,68482
2021-04-18,76149
2021-04-19,88455
2021-04-20,94874
2021-04-21,96448
2021-04-22,96079
2021-04-23,82242
2021-04-24,95593
2021-04-25,109059
2021-04-26,96237
2021-04-27,77402
2021-04-28,84714
2021-04-29,76555
2021-04-30,42492
2021-05-01,48747
2021-05-02,104507
2021-05-03,105887
2021-05-04,36267
2021-05-05,105758
2021-05-06,98991
2021-05-07,62224
