date,rental
2021-01-01,33000
2021-01-02,28940
2021-01-03,24509
2021-01-04,33263
2021-01-05,30086
2021-01-06,27411
2021-01-07,24749
2021-01-08,30505
2021-01-09,28920
2021-01-10,25045
2021-01-11,30097
2021-01-12,19398
2021-01-13,36372
2021-01-14,33834
2021-01-15,28311
2021-01-16,29296
2021-01-17,24104
2021-01-18,22754
2021-01-19,29408
2021-01-20,37698
2021-01-21,25039
2021-01-22,28905
2021-01-23,38533
2021-01-24,46602
2021-01-25,51832
2021-01-26,21863
2021-01-27,39828
2021-01-28,21101
2021-01-29,27861
2021-01-30,31887
2021-01-31,37538
2021-02-01,25538
2021-02-02,28910
2021-02-03,23591
2021-02-04,28879
2021-02-05,31562
2021-02-06,37465
2021-02-07,25713
2021-02-08,33897
2021-02-09,32966
2021-02-10,34924
2021-02-11,42809
2021-02-12,51760
2021-02-13,51751
2021-02-14,54908
2021-02-15,20512
2021-02-16,22365
2021-02-17,22029
2021-02-18,30364
2021-02-19,40915
2021-02-20,45761
2021-02-21,73117
2021-02-22,46390
2021-02-23,38375
2021-02-24,46274
2021-02-25,40926
2021-02-26,74684
2021-02-27,76306
2021-02-28,41117
2021-03-01,21165
2021-03-02,35745
2021-03-03,52741
2021-03-04,53298
2021-03-05,73668
2021-03-06,50427
2021-03-07,54480
2021-03-08,64720
2021-03-09,59059
2021-03-10,59332
2021-03-11,64178
2021-03-12,62677
2021-03-13,58194
2021-03-14,57022
2021-03-15,53880
2021-03-16,55341
2021-03-17,70403
2021-03-18,84218
2021-03-19,92178
2021-03-20,33286
2021-03-21,31038
2021-03-22,61730
2021-03-23,71238
2021-03-24,75162
2021-03-25,90651
2021-03-26,80065
2021-03-27,28191
2021-03-28,40846
2021-03-29,58449
2021-03-30,82994
2021-03-31,105938
2021-04-01,110245
2021-04-02,106916
2021-04-03,26744
2021-04-04,77335
2021-04-05,99961
2021-04-06,103831
2021-04-07,107166
2021-04-08,107564
2021-04-09,105358
2021-04-10,100010
2021-04-11,106857
2021-04-12,39540
2021-04-13,56643
2021-04-14,91318
2021-04-15,98362
2021-04-16,75796
2021-04-17,72778
2021-04-18,92740
2021-04-19,104445
2021-04-20,102378
2021-04-21,110462
2021-04-22,111608
2021-04-23,97589
2021-04-24,105707
2021-04-25,115871
2021-04-26,111872
2021-04-27,66003
2021-04-28,75387
2021-04-29,74649
2021-04-30,48663
2021-05-01,45089
2021-05-02,103286
2021-05-03,118793
2021-05-04,38327
2021-05-05,116135
2021-05-06,112346
2021-05-07,65327
2021-05-08,111888
2021-05-09,114054
2021-05-10,105907
2021-05-11,128463
2021-05-12,126340
2021-05-13,127938
2021-05-14,128751
2021-05-15,49918
2021-05-16,27071
2021-05-17,54042
2021-05-18,124741
2021-05-19,122272
2021-05-20,79016
2021-05-21,61391
2021-05-22,129688
2021-05-23,119694
2021-05-24,121093
2021-05-25,67758
2021-05-26,122295
2021-05-27,60612
2021-05-28,63953
2021-05-29,102208
2021-05-30,105541
2021-05-31,80136
2021-06-01,89457
2021-06-02,134736
2021-06-03,51272
2021-06-04,134029
2021-06-05,138228
2021-06-06,132793
2021-06-07,131126
2021-06-08,138091
2021-06-09,131374
2021-06-10,91216
2021-06-11,87808
2021-06-12,135298
2021-06-13,126571
2021-06-14,134641
2021-06-15,103812
2021-06-16,140389
2021-06-17,139337
2021-06-18,44232
2021-06-19,134721
2021-06-20,135990
2021-06-21,140712
2021-06-22,141374
2021-06-23,97258
2021-06-24,142104
2021-06-25,137966
2021-06-26,103093
2021-06-27,97493
2021-06-28,137266
2021-06-29,96690
2021-06-30,100592
2021-07-01,131596
2021-07-02,120652
2021-07-03,77438
2021-07-04,34941
2021-07-05,127082
2021-07-06,132515
2021-07-07,77472
2021-07-08,92836
2021-07-09,112273
2021-07-10,105778
2021-07-11,84050
2021-07-12,109803
2021-07-13,104819
2021-07-14,104092
2021-07-15,108647
2021-07-16,104157
2021-07-17,102367
2021-07-18,100859
2021-07-19,64507
2021-07-20,113806
2021-07-21,101784
2021-07-22,91624
2021-07-23,93698
2021-07-24,86301
2021-07-25,89735
2021-07-26,95761
2021-07-27,98580
2021-07-28,97323
2021-07-29,110896
2021-07-30,105635
2021-07-31,69620
2021-08-01,39102
2021-08-02,78897
2021-08-03,100392
2021-08-04,101553
2021-08-05,106825
