date,rental
2021-01-01,25616.299
2021-01-02,28481.154
2021-01-03,17789.686
2021-01-04,34071.848
2021-01-05,24715.809
2021-01-06,19457.72
2021-01-07,12945.668
2021-01-08,23683.08
2021-01-09,19016.2
2021-01-10,18415.541
2021-01-11,20881.578
2021-01-12,20640.39
2021-01-13,36573.84
2021-01-14,38115.285
2021-01-15,26405.479
2021-01-16,22739.541
2021-01-17,17763.557
2021-01-18,21799.799
2021-01-19,27871.605
2021-01-20,40136.203
2021-01-21,18285.172
2021-01-22,8177.5513
2021-01-23,41214.76
2021-01-24,44304.543
2021-01-25,54063.84
2021-01-26,24601.3
2021-01-27,39968.13
2021-01-28,24053.67
2021-01-29,23545.496
2021-01-30,26955.057
2021-01-31,35741.773
2021-02-01,30010.988
2021-02-02,25878.602
2021-02-03,20484.99
2021-02-04,28467.549
2021-02-05,38316.543
2021-02-06,34003.582
2021-02-07,27948.85
2021-02-08,31982.834
2021-02-09,32477.621
2021-02-10,37584.336
2021-02-11,48141.81
2021-02-12,55231.168
2021-02-13,53000.23
2021-02-14,48148.832
2021-02-15,29205.078
2021-02-16,19119.129
2021-02-17,15619.429
2021-02-18,25245.746
2021-02-19,39113.945
2021-02-20,49738.438
2021-02-21,52580.25
2021-02-22,54501.29
2021-02-23,36432.668
2021-02-24,48314.793
2021-02-25,38694.348
2021-02-26,64043.473
2021-02-27,59686.508
2021-02-28,38701.88
2021-03-01,7959.543
2021-03-02,37355.344
2021-03-03,52493.016
2021-03-04,66361.1
2021-03-05,75408.37
2021-03-06,53367.3
2021-03-07,50837.336
2021-03-08,69698.016
2021-03-09,60306.58
2021-03-10,80349.234
2021-03-11,72882.57
2021-03-12,70485.055
2021-03-13,62305.51
2021-03-14,51569.77
2021-03-15,61995.34
2021-03-16,56474.848
2021-03-17,74254.9
2021-03-18,85054.164
2021-03-19,88623.24
2021-03-20,32826.457
2021-03-21,35305.484
2021-03-22,61176.89
2021-03-23,82433.266
2021-03-24,80923.62
2021-03-25,75022.805
2021-03-26,78821.12
2021-03-27,17144.955
2021-03-28,12656.659
2021-03-29,61940.32
2021-03-30,81516.71
2021-03-31,96223.87
2021-04-01,113160.164
2021-04-02,107445.914
2021-04-03,16992.775
2021-04-04,68500.26
2021-04-05,101481.94
2021-04-06,107780.89
2021-04-07,110775.17
2021-04-08,112165.016
2021-04-09,109159.51
2021-04-10,105298.086
2021-04-11,108540.29
2021-04-12,21821.432
2021-04-13,52830.47
2021-04-14,89615.01
2021-04-15,108183.03
2021-04-16,71421.36
2021-04-17,73547.78
2021-04-18,86893.09
2021-04-19,102408.08
2021-04-20,110457.63
2021-04-21,113921.6
2021-04-22,107691.2
2021-04-23,111391.516
2021-04-24,119470.42
2021-04-25,120424.69
2021-04-26,115493.25
2021-04-27,76128.65
