date,rental
2021-01-01,27550.5
2021-01-02,26879.684
2021-01-03,17775.93
2021-01-04,33266.39
2021-01-05,26452.082
2021-01-06,18847.088
2021-01-07,15387.961
2021-01-08,21009.246
2021-01-09,16655.373
2021-01-10,17180.033
2021-01-11,21460.719
2021-01-12,19854.938
2021-01-13,36311.574
2021-01-14,37908.215
2021-01-15,30243.117
2021-01-16,21390.547
2021-01-17,17585.918
2021-01-18,21143.078
2021-01-19,28882.518
2021-01-20,39476.37
2021-01-21,17442.297
2021-01-22,8792.187
2021-01-23,43763.19
2021-01-24,50488.582
2021-01-25,57850.875
2021-01-26,24387.502
2021-01-27,40842.41
2021-01-28,25614.367
2021-01-29,23237.057
2021-01-30,29718.586
2021-01-31,34347.113
2021-02-01,31386.197
2021-02-02,27743.643
2021-02-03,22067.2
2021-02-04,31373.926
2021-02-05,39831.71
2021-02-06,36958.348
2021-02-07,28720.262
2021-02-08,32110.006
2021-02-09,35377.613
2021-02-10,38099.695
2021-02-11,47845.62
2021-02-12,57411.066
2021-02-13,55634.383
2021-02-14,43565.098
2021-02-15,28328.15
2021-02-16,21112.732
2021-02-17,14772.121
2021-02-18,24239.168
2021-02-19,42168.883
2021-02-20,51574.44
2021-02-21,55053.16
2021-02-22,52158.72
2021-02-23,37701.477
2021-02-24,49268.92
2021-02-25,41096.227
2021-02-26,65088.082
2021-02-27,61278.727
2021-02-28,41259.95
2021-03-01,7056.5967
2021-03-02,38350.508
2021-03-03,53342.926
2021-03-04,64064.49
2021-03-05,76848.41
2021-03-06,52298.137
2021-03-07,57096.395
2021-03-08,71455.484
2021-03-09,62841.16
2021-03-10,84464.97
2021-03-11,71644.914
2021-03-12,72439.42
2021-03-13,61494.4
2021-03-14,54927.66
2021-03-15,60535.11
2021-03-16,60460.336
2021-03-17,79823.836
2021-03-18,82815.76
2021-03-19,84002.49
2021-03-20,27795.709
2021-03-21,38555.25
2021-03-22,66250.44
2021-03-23,79619.99
2021-03-24,81634.88
2021-03-25,75546.5
2021-03-26,77203.21
2021-03-27,13588.661
2021-03-28,11190.471
2021-03-29,66471.695
2021-03-30,81805.805
2021-03-31,98870.016
2021-04-01,112231.36
2021-04-02,104586.4
2021-04-03,17860.662
2021-04-04,76306.3
2021-04-05,102513.125
2021-04-06,110495.24
2021-04-07,107229.1
2021-04-08,114761.36
2021-04-09,108538.734
2021-04-10,112196.36
2021-04-11,111915.305
2021-04-12,21938.375
2021-04-13,58975.992
2021-04-14,94422.125
2021-04-15,111260.19
2021-04-16,76098.74
2021-04-17,74772.586
2021-04-18,91680.37
2021-04-19,103140.445
2021-04-20,109734.32
2021-04-21,116162.32
2021-04-22,103115.76
2021-04-23,87012.51
2021-04-24,111231.23
2021-04-25,117416.91
2021-04-26,113764.07
2021-04-27,84439.76
2021-04-28,69755.27
2021-04-29,83452.01
2021-04-30,34151.426
2021-05-01,55887.566
2021-05-02,103399.266
2021-05-03,126025.805
2021-05-04,22036.557
2021-05-05,102098.95
2021-05-06,119199.336
2021-05-07,68517.19
2021-05-08,109770.12
2021-05-09,113652.914
2021-05-10,86725.695
2021-05-11,137493.95
2021-05-12,142434.27
2021-05-13,136756.52
2021-05-14,131764.48
2021-05-15,52149.113
2021-05-16,8621.833
2021-05-17,28734.29
2021-05-18,131070.28
2021-05-19,133103.0
2021-05-20,61890.367
2021-05-21,83496.11
2021-05-22,125412.29
2021-05-23,124414.6
2021-05-24,129527.31
2021-05-25,78557.63
2021-05-26,124219.58
2021-05-27,61434.96
2021-05-28,60864.902
2021-05-29,108309.08
2021-05-30,93053.75
2021-05-31,89044.98
2021-06-01,104054.625
2021-06-02,134047.7
2021-06-03,56648.11
2021-06-04,142292.92
2021-06-05,139717.95
2021-06-06,131199.6
2021-06-07,122557.58
2021-06-08,145935.42
2021-06-09,135495.97
2021-06-10,110802.54
2021-06-11,106599.07
2021-06-12,136775.95
2021-06-13,125185.97
2021-06-14,132161.42
2021-06-15,116438.06
2021-06-16,140361.94
2021-06-17,137568.47
2021-06-18,56331.44
2021-06-19,138018.67
2021-06-20,123003.586
2021-06-21,145161.44
2021-06-22,137297.94
2021-06-23,116698.42
2021-06-24,141367.2
2021-06-25,139698.89
2021-06-26,107756.43
2021-06-27,72932.77
2021-06-28,142552.36
2021-06-29,116368.125
2021-06-30,125820.086
2021-07-01,143239.73
2021-07-02,126813.33
2021-07-03,66568.88
2021-07-04,20679.346
2021-07-05,141919.16
2021-07-06,133748.52
2021-07-07,76636.01
2021-07-08,115891.555
2021-07-09,120012.98
2021-07-10,119522.28
2021-07-11,103437.234
2021-07-12,113663.21
2021-07-13,111250.32
2021-07-14,103784.96
2021-07-15,111503.445
2021-07-16,78002.58
2021-07-17,105167.41
2021-07-18,97746.1
2021-07-19,83053.99
2021-07-20,122448.92
2021-07-21,94223.41
2021-07-22,95136.01
2021-07-23,98533.32
2021-07-24,84343.58
2021-07-25,92676.99
2021-07-26,94545.56
2021-07-27,107134.13
2021-07-28,103153.92
2021-07-29,116428.73
2021-07-30,103466.734
2021-07-31,89141.08
2021-08-01,49857.926
2021-08-02,98029.89
2021-08-03,115999.04
2021-08-04,108906.82
2021-08-05,109313.9
2021-08-06,103637.89
2021-08-07,121649.164
2021-08-08,74134.4
2021-08-09,118863.9
2021-08-10,124867.61
2021-08-11,124631.81
2021-08-12,134111.78
2021-08-13,138113.88
2021-08-14,126256.9
2021-08-15,115715.63
2021-08-16,125646.09
2021-08-17,81228.02
2021-08-18,105071.875
2021-08-19,140521.86
2021-08-20,139707.55
2021-08-21,62578.85
2021-08-22,126198.75
2021-08-23,74094.95
2021-08-24,29167.305
2021-08-25,123878.16
2021-08-26,107092.97
2021-08-27,100001.91
2021-08-28,129641.62
2021-08-29,119864.62
2021-08-30,140969.78
2021-08-31,24712.11
2021-09-01,104236.484
2021-09-02,144677.98
2021-09-03,141048.58
2021-09-04,155799.47
2021-09-05,144443.06
2021-09-06,91353.164
2021-09-07,14929.539
2021-09-08,108664.89
2021-09-09,149212.11
2021-09-10,141584.16
2021-09-11,140949.47
2021-09-12,140038.77
2021-09-13,131121.05
2021-09-14,148458.11
2021-09-15,153418.95
2021-09-16,143431.52
2021-09-17,149503.67
2021-09-18,152415.48
2021-09-19,143165.45
2021-09-20,143924.11
2021-09-21,84752.305
2021-09-22,105333.836
2021-09-23,148064.89
2021-09-24,149178.81
2021-09-25,137055.0
2021-09-26,147483.0
2021-09-27,143884.19
2021-09-28,121943.625
2021-09-29,23739.389
2021-09-30,142711.77
