date,rental
2021-01-01,33046.62
2021-01-02,22165.232
2021-01-03,12924.134
2021-01-04,27834.46
2021-01-05,21798.008
2021-01-06,17544.041
2021-01-07,11345.292
2021-01-08,15056.498
2021-01-09,13527.204
2021-01-10,11867.948
2021-01-11,15756.279
2021-01-12,18429.326
2021-01-13,33259.34
2021-01-14,34946.2
2021-01-15,29142.557
2021-01-16,19136.717
2021-01-17,14607.51
2021-01-18,23026.902
2021-01-19,20572.385
2021-01-20,37699.734
2021-01-21,22494.32
2021-01-22,13783.576
2021-01-23,44003.016
2021-01-24,53521.67
2021-01-25,69344.12
2021-01-26,27023.318
2021-01-27,39729.598
2021-01-28,26658.396
2021-01-29,21063.55
2021-01-30,26002.012
2021-01-31,22723.375
2021-02-01,32039.174
2021-02-02,22129.496
2021-02-03,24397.537
2021-02-04,27579.03
2021-02-05,35444.688
2021-02-06,33911.242
2021-02-07,24218.531
2021-02-08,31862.557
2021-02-09,36317.98
2021-02-10,37294.1
2021-02-11,45713.05
2021-02-12,43662.434
2021-02-13,44973.273
2021-02-14,42491.465
2021-02-15,25723.822
2021-02-16,24325.803
2021-02-17,18531.262
2021-02-18,23604.506
2021-02-19,31593.752
2021-02-20,65166.65
2021-02-21,67424.29
2021-02-22,46604.816
2021-02-23,36365.258
2021-02-24,35120.73
2021-02-25,39772.715
2021-02-26,45630.31
2021-02-27,80449.81
2021-02-28,33410.703
2021-03-01,6519.4883
2021-03-02,41126.734
2021-03-03,57331.406
2021-03-04,57577.188
2021-03-05,85551.57
2021-03-06,44454.645
2021-03-07,55037.97
2021-03-08,75230.25
2021-03-09,77194.53
2021-03-10,74256.375
2021-03-11,64854.09
2021-03-12,47245.453
2021-03-13,55972.695
2021-03-14,42619.39
2021-03-15,60290.906
2021-03-16,70465.84
2021-03-17,78473.305
2021-03-18,74734.914
2021-03-19,90554.57
2021-03-20,26793.613
2021-03-21,34907.676
2021-03-22,49245.37
2021-03-23,78613.414
2021-03-24,73806.914
2021-03-25,77880.41
2021-03-26,72226.9
2021-03-27,21457.314
2021-03-28,13321.068
2021-03-29,60452.23
2021-03-30,86600.836
2021-03-31,91557.16
2021-04-01,115582.1
2021-04-02,120569.28
2021-04-03,30869.709
2021-04-04,67380.0
2021-04-05,108144.766
2021-04-06,117680.055
2021-04-07,114901.93
2021-04-08,109831.62
2021-04-09,115550.8
2021-04-10,111744.19
2021-04-11,101035.89
2021-04-12,32525.463
2021-04-13,75473.21
2021-04-14,85688.79
2021-04-15,108460.44
2021-04-16,79585.695
2021-04-17,78456.01
2021-04-18,73673.08
2021-04-19,111267.3
2021-04-20,119208.81
2021-04-21,116788.555
2021-04-22,113101.07
2021-04-23,111875.01
2021-04-24,112423.49
2021-04-25,97449.76
2021-04-26,103534.36
2021-04-27,82025.11
2021-04-28,78785.03
2021-04-29,93810.37
2021-04-30,45920.527
2021-05-01,44871.95
2021-05-02,89333.62
2021-05-03,117645.23
2021-05-04,24399.926
2021-05-05,113751.766
2021-05-06,119430.48
2021-05-07,79382.625
2021-05-08,116637.6
2021-05-09,109016.25
2021-05-10,49121.773
2021-05-11,134499.27
2021-05-12,129217.69
2021-05-13,129694.22
2021-05-14,133477.53
2021-05-15,55437.09
2021-05-16,14409.101
2021-05-17,29948.672
2021-05-18,126853.05
2021-05-19,126144.555
2021-05-20,71515.31
2021-05-21,67677.35
2021-05-22,133833.8
2021-05-23,111011.0
2021-05-24,125509.805
2021-05-25,91885.836
2021-05-26,132688.0
2021-05-27,70043.22
2021-05-28,54435.746
2021-05-29,113412.71
2021-05-30,85891.92
2021-05-31,99426.87
2021-06-01,110263.055
2021-06-02,133636.0
2021-06-03,69593.57
2021-06-04,141398.66
2021-06-05,136986.44
2021-06-06,120746.664
2021-06-07,117358.02
2021-06-08,138194.4
2021-06-09,131159.38
2021-06-10,105882.17
2021-06-11,100262.55
2021-06-12,132668.23
2021-06-13,115677.32
2021-06-14,132668.05
2021-06-15,110020.84
2021-06-16,136238.77
2021-06-17,134612.83
2021-06-18,42166.555
2021-06-19,135797.44
2021-06-20,121799.7
2021-06-21,133587.0
2021-06-22,137391.11
2021-06-23,102956.05
2021-06-24,135459.19
2021-06-25,145554.22
2021-06-26,100560.86
2021-06-27,72815.445
2021-06-28,128547.984
2021-06-29,115841.086
2021-06-30,101152.7
2021-07-01,136279.66
2021-07-02,141479.73
2021-07-03,65280.92
2021-07-04,23606.32
2021-07-05,129813.71
